勘定科目
現金
受取手形
不渡手形
売掛金
未収入金
有価証券
開業費
権利金
商品
製品
半製品
仕掛品
原材料
貯蔵品
副産物作業くず
事業主貸
資産譲渡損
[確]支払医療費
[確]社会保険料
[確]小規模企業等掛金
前払金
前払費用
立替金
仮払金
建設仮勘定
短期貸付金
未収収益
預け金
仮払消費税
複合
未確定勘定
建物
附属設備
構築物
機械装置
車両運搬具
工具器具備品
土地
一括償却資産
電話加入権
施設利用権
工業所有権
借地権
ソフトウェア
投資有価証券
出資金
敷金
長期貸付金
破産更生債権
長期前払費用
長期固定性預金
差入保証金
預託金
支払手形
設備支払手形
割引手形
裏書手形
買掛金
短期借入金
未払金
未払費用
未払消費税
クレカ
前受金
う
前受収益
ASKUL
仮受金
預り保証金
預り金
保証金・敷金
貸倒引当金
仮受消費税
長期借入金
長期未払金
事業主借
受取利息
受取配当金
[確]利子収入
[確]配当収入
[確]給与収入
[確]雑収入（公的年金等）
[確]雑収入（その他）
[確]総合譲渡収入（短期）
[確]総合譲渡収入（長期）
[確]一時収入
[確]保険金補填（医療費）
元入金
損益
売上高
売上値引高
売上戻り高
家事消費等
事業分量配当金
雑収入
仕入割引
前年度繰越収益
期首商品棚卸高
仕入高
仕入値引高
仕入戻し高
仕入割戻し高
期末商品棚卸高
前年度繰越費用
期首製品棚卸高
期末製品棚卸高
研修費
租税公課
荷造運賃
運賃
水道光熱費
燃料費
旅費交通費
通信費
広告宣伝費
販売手数料
販売促進費
交際費
保険料
修繕費
消耗品費
事務用品費
減価償却費
長期前払費用償却
繰延資産償却
福利厚生費
法定福利費
退職金掛金
給料手当
賞与
雑給
退職金
外注費
支払利息
割引料
地代家賃
貸倒損失
支払手数料
賃借料
リース料
車両費
採用教育費
会議費
新聞図書費
諸会費
取材費
売上割引
研究開発費
雑損失
雑費
貸倒引当金戻入
専従者給与
貸倒引当金繰入
